trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,NZM,20:51 24-Feb,21:47 24-Feb,20:53 24-Feb,21:57 24-Feb
11058,FDB,21:12 24-Feb,22:16 24-Feb,21:14 24-Feb,22:17 24-Feb
11058,BVH,21:23 24-Feb,22:26 24-Feb,21:25 24-Feb,22:28 24-Feb
11058,PWL,21:53 24-Feb,22:57 24-Feb,21:55 24-Feb,22:59 24-Feb
11058,KSV,22:28 24-Feb,23:37 24-Feb,22:30 24-Feb,23:39 24-Feb
11058,MTJ,23:00 24-Feb,**UA**,23:05 24-Feb,00:30 25-Feb
11058,AGC,23:50 24-Feb,01:35 25-Feb,23:55 24-Feb,01:43 25-Feb
11058,DHO,00:48 25-Feb,02:23 25-Feb,00:50 25-Feb,02:30 25-Feb
11058,MRA,01:23 25-Feb,02:53 25-Feb,01:25 25-Feb,02:55 25-Feb
11058,GWL,01:55 25-Feb,03:34 25-Feb,01:57 25-Feb,03:38 25-Feb
11058,DBA,02:36 25-Feb,04:23 25-Feb,02:38 25-Feb,04:26 25-Feb
11058,DAA,03:10 25-Feb,04:53 25-Feb,03:12 25-Feb,04:56 25-Feb
11058,VGLB,04:05 25-Feb,05:20 25-Feb,04:13 25-Feb,05:32 25-Feb
11058,BAB,04:50 25-Feb,06:04 25-Feb,04:52 25-Feb,06:06 25-Feb
11058,TBT,05:24 25-Feb,06:27 25-Feb,05:26 25-Feb,06:43 25-Feb
11058,LAR,05:56 25-Feb,07:12 25-Feb,05:58 25-Feb,07:28 25-Feb
11058,DUA,06:19 25-Feb,07:51 25-Feb,06:20 25-Feb,07:55 25-Feb
11058,BINA,07:05 25-Feb,08:35 25-Feb,07:10 25-Feb,08:39 25-Feb
11058,MABA,07:28 25-Feb,09:03 25-Feb,07:30 25-Feb,09:06 25-Feb
11058,BAQ,07:50 25-Feb,09:27 25-Feb,07:52 25-Feb,09:29 25-Feb
11058,GLG,08:08 25-Feb,09:48 25-Feb,08:10 25-Feb,10:01 25-Feb
11058,BHS,08:29 25-Feb,10:21 25-Feb,08:31 25-Feb,10:23 25-Feb
11058,BPL,09:20 25-Feb,11:07 25-Feb,09:25 25-Feb,11:24 25-Feb
11058,RKMP,09:37 25-Feb,11:34 25-Feb,09:39 25-Feb,11:38 25-Feb
11058,MDDP,09:53 25-Feb,11:53 25-Feb,09:55 25-Feb,11:55 25-Feb
11058,ODG,10:08 25-Feb,12:12 25-Feb,10:10 25-Feb,12:14 25-Feb
11058,BNI,10:41 25-Feb,12:51 25-Feb,10:42 25-Feb,12:53 25-Feb
11058,NDPM,10:52 25-Feb,13:03 25-Feb,10:54 25-Feb,13:05 25-Feb
11058,ET,11:15 25-Feb,13:32 25-Feb,11:25 25-Feb,13:56 25-Feb
11058,BPF,11:53 25-Feb,14:26 25-Feb,11:55 25-Feb,14:28 25-Feb
11058,TBN,12:16 25-Feb,14:49 25-Feb,12:18 25-Feb,14:51 25-Feb
11058,HD,12:28 25-Feb,15:04 25-Feb,12:30 25-Feb,15:06 25-Feb
11058,KKN,12:55 25-Feb,15:29 25-Feb,12:57 25-Feb,15:31 25-Feb
11058,CAER,13:18 25-Feb,16:00 25-Feb,13:20 25-Feb,16:03 25-Feb
11058,TLV,13:43 25-Feb,16:49 25-Feb,13:45 25-Feb,16:53 25-Feb
11058,KNW,14:23 25-Feb,17:11 25-Feb,14:25 25-Feb,17:15 25-Feb
11058,NPNR,14:58 25-Feb,17:54 25-Feb,15:00 25-Feb,17:56 25-Feb
11058,BAU,15:23 25-Feb,18:21 25-Feb,15:25 25-Feb,18:23 25-Feb
11058,RV,15:41 25-Feb,18:40 25-Feb,15:43 25-Feb,18:42 25-Feb
11058,SAV,15:59 25-Feb,18:56 25-Feb,16:00 25-Feb,18:57 25-Feb
11058,BSL,16:35 25-Feb,19:19 25-Feb,16:40 25-Feb,19:40 25-Feb
11058,JL,17:08 25-Feb,20:15 25-Feb,17:10 25-Feb,20:19 25-Feb
11058,PC,17:42 25-Feb,20:56 25-Feb,17:44 25-Feb,20:57 25-Feb
11058,CSN,18:18 25-Feb,21:30 25-Feb,18:20 25-Feb,21:32 25-Feb
11058,MMR,19:18 25-Feb,22:30 25-Feb,19:20 25-Feb,22:40 25-Feb
11058,NK,20:17 25-Feb,23:29 25-Feb,20:20 25-Feb,23:33 25-Feb
11058,KYN,22:47 25-Feb,03:35 26-Feb,22:50 25-Feb,03:38 26-Feb
11058,TNA,23:12 25-Feb,03:58 26-Feb,23:15 25-Feb,04:23 26-Feb
11058,DR,23:37 25-Feb,05:00 26-Feb,23:40 25-Feb,Cancelled
11058,CSMT,00:05 26-Feb,Cancelled,DSTN,DSTN
11058,ASR,SRC,SRC,08:50 25-Feb,08:51 25-Feb
11058,JNL,09:04 25-Feb,09:14 25-Feb,09:06 25-Feb,09:16 25-Feb
11058,BEAS,09:23 25-Feb,09:38 25-Feb,09:25 25-Feb,**UA**
